Date,Ammonium-N dissolved,Calcium,Chloride,Chlorophyll A,DOC,Total-N,Potassium,Conductivity,Magnesium,Sodium,Nitrate-N,Phaeophytin,Redox potential,Oxygen content,Oxygen saturation,Silicon dioxide-Si,Sulfate,Acid capacity (Alkalinity),Total phosphorus,Ortho-phosphate-P,pH
2005-03-30,,,,6.5,,0.8,,,,,,,,,,,,,0.044,,
2005-05-10,,,,3.6,,0.7,,,,,,,,,,,,,0.021,,
2005-10-08,,,,2.4,,0.7,,,,,,,,,,,,,0.028,,
2005-11-05,,,,4.4,,0.6,,,,,,,,,,,,,0.04,,
2008-01-07,0.06,,,3.3,,0.9,,423.0,,,0.125,1.5,230.0,9.42,106.8,0.34,,1.9,0.028,0.0015,8.14
2008-04-08,0.04,,,2.4,,0.92,,421.0,,,0.005,0.3,190.0,9.34,109.9,0.19,,1.8,0.015,0.0015,7.95
2008-04-15,0.06,,,5.6,,0.8,,404.0,,,0.04,3.4,250.0,12.74,108.2,0.06,,2.03,0.034,,8.84
2008-05-21,0.07,,,1.0,,0.6,,438.0,,,0.005,1.0,260.0,11.21,118.9,0.22,,2.0,0.017,0.0015,8.53
2008-09-09,0.16,,,5.9,,0.81,,415.0,,,0.005,13.6,210.0,9.46,104.0,0.68,,1.9,0.049,0.03,7.95
2008-10-21,0.35,,,2.7,,1.206,,434.0,,,0.013,4.3,190.0,8.26,78.5,0.59,,1.9,0.078,0.04,7.67
2013-01-10,,64.0,,5.92,,0.79,6.3,410.0,7.9,15.0,0.023,0.5,255.0,9.7,95.0,0.11,,1.99,,0.004,8.19
2013-05-27,0.026,66.0,,1.48,,0.62,4.8,416.0,7.0,14.0,0.022,0.5,247.0,,,4.7,,2.12,0.027,0.002,8.76
2013-06-24,0.044,67.0,,8.88,,0.84,6.0,420.0,8.0,14.0,0.037,0.5,280.0,9.9,115.0,0.22,,2.07,0.038,0.003,8.61
2013-07-30,0.052,69.0,,2.96,,1.02,5.9,416.0,8.1,15.0,0.04,0.5,268.0,9.4,114.0,0.16,,2.0,0.016,0.001,8.51
2013-08-26,0.053,63.0,,7.4,,1.1,4.6,411.0,7.1,11.0,0.024,0.5,302.0,9.9,111.0,0.22,,2.0,0.034,0.006,8.46
2013-11-13,0.071,68.0,,5.92,,0.85,4.9,431.0,7.7,15.0,0.015,2.4,200.0,10.5,92.0,0.33,,2.03,0.031,0.007,7.69
2016-01-08,0.005,61.5,32.4,2.1,11.1,0.67,5.01,414.0,8.25,15.1,0.005,0.7,355.0,10.11,119.2,0.11,76.9,1.75,0.022,0.0025,8.62
2016-03-03,0.02,60.2,32.5,10.8,7.55,0.77,4.89,456.0,7.3,13.4,0.022,5.7,393.0,15.37,115.6,0.07,79.2,2.03,0.024,0.0025,8.78
2016-05-04,0.02,65.6,32.7,8.4,7.6,0.69,4.72,451.0,7.61,12.9,0.028,2.8,373.0,13.26,116.0,0.09,79.8,2.06,0.025,0.0025,8.66
2016-05-19,0.02,71.2,32.8,2.5,8.74,0.74,5.35,456.0,8.26,15.4,0.014,1.0,384.0,10.67,111.1,0.26,77.5,2.12,0.024,0.0025,8.53
2016-06-22,,,,,,,,440.0,,,,,424.0,10.48,118.9,,,,,,8.52
2016-06-23,0.02,68.8,32.3,4.4,9.93,0.78,5.63,,8.18,16.0,0.118,0.7,,,,0.26,76.6,2.01,0.024,0.0025,
2016-09-15,0.005,60.6,32.6,2.7,10.6,0.66,5.17,424.0,8.49,15.8,0.005,0.7,416.0,10.19,118.0,0.12,81.5,1.58,0.018,0.0025,8.44
2019-04-26,0.01,69.4,35.9,4.6,9.9,0.94,5.27,476.0,8.22,16.7,0.127,1.5,422.0,12.07,121.8,0.09,86.8,2.09,0.029,0.005,8.49
2019-06-14,0.005,66.5,32.7,6.3,7.59,0.85,6.41,475.0,7.6,16.8,0.041,2.6,441.0,11.2,135.6,0.157,85.1,2.04,0.026,0.0025,8.77
2019-07-16,0.02,65.1,35.0,3.6,8.41,0.81,5.7,469.0,8.47,15.9,0.005,2.0,396.0,10.21,115.2,0.084,84.0,1.82,0.046,0.0025,8.58
2019-09-09,0.005,64.2,34.4,10.5,8.33,0.9,5.37,464.0,8.91,16.8,0.005,1.3,356.0,9.61,108.9,0.098,81.9,1.83,0.033,0.0025,8.64
2019-10-22,0.01,62.3,33.1,3.7,8.61,0.74,5.5,465.0,8.43,15.8,0.005,0.8,382.0,9.81,96.6,0.091,82.1,1.8,0.021,0.0025,8.28
2019-11-03,0.03,66.2,33.0,15.7,7.71,0.87,5.15,466.0,7.84,14.8,0.11,2.2,403.0,13.24,105.7,0.005,78.3,2.06,0.033,0.005,8.38
2022-05-30,0.038,46.5,34.3,4.0,6.6,0.877,4.91,467.0,7.34,14.9,0.009,1.45,230.0,10.2,107.0,0.24,90.7,1.95,0.04,0.004,7.45
2022-07-14,0.065,52.5,40.1,3.0,6.0,0.739,5.21,456.0,7.61,15.2,0.009,0.65,110.0,10.2,116.0,0.32,94.9,1.46,0.032,0.002,8.16
2022-08-17,0.105,37.3,40.1,6.0,7.5,0.758,5.04,442.0,8.02,15.0,0.004,4.84,297.0,10.2,122.0,1.5,87.7,1.64,0.032,0.023,8.49
2022-09-19,0.04,44.5,41.8,4.0,7.9,0.758,3.82,440.0,6.19,12.4,0.015,1.22,154.0,9.4,100.0,0.7,88.0,1.68,0.025,0.007,8.64
2022-10-25,0.045,33.3,38.4,7.0,7.9,0.668,4.84,445.0,7.22,13.8,0.011,1.76,70.0,9.3,90.0,0.41,92.0,1.54,0.029,0.004,8.73
2022-11-30,0.147,50.5,35.9,5.0,8.8,0.861,5.17,454.0,7.75,25.9,0.004,1.8,-22.0,6.8,56.0,0.88,91.5,1.68,0.054,0.016,8.42
